"","Estimate","Est.Error","Q2.5","Q97.5"
"Intercept",0.00955058867061738,0.00836101491538094,-0.00661517101040427,0.0254842460967171
"polyCat_s31",-20.92699205754,1.92452896392025,-24.6647383580832,-17.2103377194457
"polyCat_s32",25.09664308065,0.965903651623916,23.197287162502,27.0105966184308
"polyCat_s33",-5.00713488632175,0.947398637144558,-6.8353685977838,-3.17387415926777
"polySambar_s31",0.18999378760452,2.5654923791904,-4.77132431731769,5.10718041247071
"polySambar_s32",30.3671633532448,1.22491151809405,28.0480219774787,32.8172313696515
"polySambar_s33",-13.3467354343278,1.04327721921107,-15.3704479280914,-11.3809567342276
"polyRed.Fox_s31",50.1331315448148,3.27408107887521,43.6708428157589,56.6502759625603
"polyRed.Fox_s32",-1.72697172349692,1.35512032943457,-4.38119223886349,0.968566546410224
"polyRed.Fox_s33",-11.8437957369022,1.27063455730094,-14.2565373467335,-9.26850356746803
"polytsf_s31",17.771844121486,1.04735025703306,15.7844433900571,19.836092126972
"polytsf_s32",12.5698112530192,1.16765543320158,10.3359963584063,14.8643389948958
"polytsf_s33",-1.58834593020796,0.883817365026462,-3.33043274271811,0.162956203367939
"polybait_s31",30.5155677259694,1.14979686473983,28.2722354970541,32.7504704406957
"polybait_s32",9.13004408432017,0.929719564395764,7.28774222715473,10.9358417906264
"polybait_s33",-5.50575675371035,0.828086589896928,-7.1063827174249,-3.92992993278861
"polyrepeatburn_s31",6.77569369308227,0.882731138156708,5.05353418616231,8.43959417842568
"polyrepeatburn_s32",-1.42709714828151,0.870920935900705,-3.11782618941354,0.265724381579871
"polyrepeatburn_s33",-4.87783366480952,1.01260330162827,-6.89541883985072,-2.92633241205276
"polyautocov_s31",53.9375513354004,1.0854601515152,51.8602015784225,56.1125214618152
"polyautocov_s32",-6.48706725724483,0.924037443284638,-8.27413198666589,-4.69076656972956
"polyautocov_s33",-2.00198083376066,0.869580837004662,-3.70518582214025,-0.304194646119557
