"","RMSE","AUC","TjurR2","Species"
"1",0.39977958658068,0.730745345323827,0.125749330495713,"Agile.Antechinus"
"2",0.3425861365726,0.704195954195954,0.102770833063739,"Bassian.Thrush"
"3",0.459945231412661,0.666880210944608,0.0825510350261327,"Black.Wallaby"
"4",0.181918065169626,0.685139650715592,0.0281124116695443,"Bush.Rat"
"5",0.47671380851542,0.576475783210932,0.0202057453773149,"Cat"
"6",0.39656530801656,0.81462822251051,0.28061972603722,"Common.Brushtail.Possum"
"7",0.14623512924596,0.598610691633947,0.00861334427525311,"Common.Ringtail.Possum"
"8",0.499517783476938,0.543082085699535,0.0104710505562602,"Common.Wombat"
"9",0.243899230002958,0.712092785263517,0.0573055432046595,"Dog"
"10",0.277371975538244,0.733902281184274,0.0529746776986995,"Dusky.Antechinus"
"11",0.190949915212159,0.865534105534106,0.127038772947398,"Eastern.Grey.Kangaroo"
"12",0.147562274849751,0.577922077922078,-0.000854640987335908,"Eastern.Pygmy.possum"
"13",0.187515763489468,0.675498269483232,0.0275609356998509,"Eastern.Whipbird"
"14",0.294262343885866,0.554608695652174,0.00695688475785708,"Eastern.Yellow.Robin"
"15",0.187670727852133,0.886846846846847,0.152582875801181,"European.Rabbit"
"16",0.18724229558259,0.583936235438381,0.00769795765957031,"Grey.Currawong"
"17",0.411110950306616,0.529081561052779,0.00435808284911354,"Grey.Shrike.thrush"
"18",0.184259635512927,0.960725752258643,0.374482786553345,"Horse"
"19",0.373498009279384,0.660542940580488,0.0503990476120844,"Lace.Monitor"
"20",0.200425544785518,0.442934196332255,-0.00262265023788002,"Laughing.Kookaburra"
"21",0.356124259328605,0.854018335516133,0.295300330109197,"Long.footed.Potoroo"
"22",0.36915779811837,0.66291090455679,0.0530431445074669,"Long.nosed.Bandicoot"
"23",0.155505506992858,0.837834394904459,0.0560997522771855,"Long.nosed.Potoroo"
"24",0.449655382157781,0.732829731910697,0.167726000332904,"Mountain.Brushtail.Possum"
"25",0.312626272013716,0.559847040518923,0.00834962496017443,"Pied.Currawong"
"26",0.14783476033916,0.926326963906582,0.127907393999426,"Pig"
"27",0.228447322303448,0.806778953757445,0.0947379928737998,"Pilotbird"
"28",0.3093401175586,0.806236273263207,0.145389689579503,"Red.necked.Wallaby"
"29",0.274485070789992,0.801235205826628,0.15040988940409,"Red.Fox"
"30",0.274539413665002,0.701882111848137,0.0588538101773472,"Sambar"
"31",0.209242778866069,0.706887598546004,0.0369127300268554,"Satin.Bowerbird"
"32",0.362539216721894,0.621838415956063,0.0319525898526474,"Short.beaked.Echidna"
"33",0.15298675770556,0.899363057324841,0.0779134421747468,"Spot.tailed.Quoll"
"34",0.232541809780795,0.732787071810629,0.0494566470840726,"Spotted.Quail.thrush"
"35",0.272912466382009,0.683272266065389,0.0349308048475833,"Superb.Fairy.wren"
"36",0.464778892090959,0.711801396351689,0.145749751598045,"Superb.Lyrebird"
"37",0.29954411464971,0.734390319992869,0.0862442774274092,"White.browed.Scrubwren"
"38",0.203159920076792,0.600221250592636,0.00662641266138322,"White.throated.Treecreeper"
"39",0.184991311177364,0.871736785329018,0.134516372814685,"White.winged.Chough"
"40",0.332587049362534,0.636503562945368,0.0257849038299827,"Wonga.Pigeon"
